Date,Value
2024-03-04,50
2024-03-05,48
2024-03-06,43
2024-03-07,40
2024-03-08,59
2024-03-09,34
2024-03-10,36
2024-03-11,34
2024-03-12,49
2024-03-13,50
2024-03-14,39
2024-03-15,47
2024-03-16,43
2024-03-17,54
2024-03-18,38
2024-03-19,46
2024-03-20,40
2024-03-21,35
2024-03-22,52
2024-03-23,56
2024-03-24,40
2024-03-25,41
2024-03-26,36
2024-03-27,55
2024-03-28,39
2024-03-29,54
2024-03-30,72
2024-03-31,51
2024-04-01,38
2024-04-02,45
2024-04-03,159
2024-04-04,76
2024-04-05,56
2024-04-06,70
2024-04-07,69
2024-04-08,48
2024-04-09,53
2024-04-10,61
2024-04-11,46
2024-04-12,43
2024-04-13,61
2024-04-14,40
2024-04-15,47
2024-04-16,49
2024-04-17,59
2024-04-18,54
2024-04-19,57
2024-04-20,48
2024-04-21,61
2024-04-22,126
2024-04-23,56
2024-04-24,62
2024-04-25,51
2024-04-26,76
2024-04-27,64
2024-04-28,66
2024-04-29,54
2024-04-30,47
2024-05-01,49
2024-05-02,73
2024-05-03,49
2024-05-04,45
2024-05-05,70
2024-05-06,53
2024-05-07,60
2024-05-08,46
2024-05-09,40
2024-05-10,53
2024-05-11,37
2024-05-12,57
2024-05-13,46
2024-05-14,56
2024-05-15,55
2024-05-16,38
2024-05-17,38
2024-05-18,65
2024-05-19,53
2024-05-20,53
2024-05-21,59
2024-05-22,48
2024-05-23,49
2024-05-24,49
2024-05-25,58
2024-05-26,43
2024-05-27,72
2024-05-28,48
2024-05-29,44
2024-05-30,41
2024-05-31,60
2024-06-01,74
2024-06-02,57
2024-06-03,61
2024-06-04,41
2024-06-05,58
2024-06-06,50
2024-06-07,59
2024-06-08,43
2024-06-09,53
2024-06-10,57
2024-06-11,50
2024-06-12,52
2024-06-13,40
2024-06-14,46
2024-06-15,40
2024-06-16,49
2024-06-17,40
2024-06-18,49
2024-06-19,41
2024-06-20,35
2024-06-21,48
2024-06-22,52
2024-06-23,42
2024-06-24,40
2024-06-25,46
2024-06-26,50
2024-06-27,45
2024-06-28,38
2024-06-29,39
2024-06-30,40
2024-07-01,40
2024-07-02,58
2024-07-03,47
2024-07-04,50
2024-07-05,45
2024-07-06,46
